solver,family,seed,decisions,return,discounted_return,progress,mean_abs_d,max_abs_d,mean_abs_phi,mean_speed,brake_ratio,offroad,other_collision,duck_collision,timeout,goal,full_stops,stop_violations,passed_stops,stop_zone_decisions,duck_yield_decisions,duck_active_decisions,crossings,reason
mcts@1k,,1020,150,1.0331783253674454,0.5753576728844942,14.975570978470968,0.13740925969874931,0.25,0.21611372127345832,0.10416629642935804,0.23333333333333334,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
q_learning,,1001,150,12.863788227311963,6.804015348802325,17.484562498901575,0.034736117485248894,0.0903748124268252,0.1523295805248408,0.11844215404571881,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1002,150,12.659584866001973,6.957936094374017,17.615519425194215,0.030210771247852666,0.08038725691702771,0.16479585562957821,0.11923509799704,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1003,150,37.938397764498994,22.96649690192423,25.849829493785265,0.03198802058626604,0.07924196654275226,0.09209012279926751,0.1734237996492098,0.06666666666666667,false,false,false,false,false,1,0,1,17,4,7,1,in_progress
q_learning,,1004,62,-205.4669404349968,-110.67088860121575,6.28708469355512,0.0871817944808433,0.25,0.40458443270775396,0.11489241331595185,0.25806451612903225,true,false,false,false,false,0,0,0,0,0,7,1,offroad
q_learning,,1005,150,12.009080218885092,6.4333861785375595,17.469817472638688,0.036485680502754324,0.09531302955159841,0.1747643466480114,0.11860922140296624,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1006,150,11.334384370741132,5.831316084685137,16.611432072571844,0.04190702212856039,0.0893198003529665,0.17286627416943728,0.1128713657968616,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1007,150,37.42464926239869,17.81528078320243,25.27149745361186,0.022003017243103776,0.05000719166773685,0.10320366761251815,0.16966450688226153,0.06666666666666667,false,false,false,false,false,1,0,1,18,4,7,1,in_progress
q_learning,,1008,150,12.049584828290113,6.222025823998855,17.33450931014615,0.03624980169783857,0.07825177208119757,0.17451520396246406,0.11764918357255373,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1009,150,12.826584941186562,6.769738830295694,17.6288136310558,0.03423880654672358,0.07968003657000933,0.16495587204570247,0.11940215222744217,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1010,150,13.100474048806564,6.868548590099742,17.654425361514257,0.03952612555139979,0.09037932685169209,0.1482676618900232,0.119402153274988,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1011,150,37.35542623070216,23.269331032436813,25.112942718540516,0.019357825924219967,0.04584445114186897,0.10345527486233272,0.16856458468990257,0.06666666666666667,false,false,false,false,false,1,0,1,17,4,7,1,in_progress
q_learning,,1012,150,11.949697560607637,6.227692896167384,17.388810821181433,0.03631844618674235,0.08674326939874943,0.16438018192648104,0.11827508975674168,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1013,150,36.839993321845306,14.957460464704479,24.81931753403848,0.024703665160001123,0.05733268480067399,0.10540101228380329,0.1666971887758107,0.06666666666666667,false,false,false,false,false,1,0,1,18,4,7,1,in_progress
q_learning,,1014,150,37.62753407054957,15.445372175876233,25.37584095048373,0.022693398250458293,0.04879807018353888,0.09782815470768291,0.17028675937195753,0.06666666666666667,false,false,false,false,false,1,0,1,18,5,7,1,in_progress
q_learning,,1015,150,13.443615553148025,7.219167680204637,17.71768461168387,0.03877415246173957,0.08471992488007914,0.14199339798752553,0.11955981083876224,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1016,150,37.642798293190424,19.335639669908645,25.431443927621462,0.025100134447825127,0.052497779195138206,0.09196029175469493,0.17067533202292032,0.06666666666666667,false,false,false,false,false,1,0,1,15,5,7,1,in_progress
q_learning,,1017,150,37.613677900799296,15.518193298094946,25.740213913213484,0.02568697212550628,0.07429058899858319,0.10498348831584971,0.17301127237866304,0.06666666666666667,false,false,false,false,false,1,0,1,16,4,7,1,in_progress
q_learning,,1018,150,12.68406669346251,5.949629894887823,17.63258965242379,0.03771197797526389,0.08621817427836184,0.16591702742236922,0.11952721220320316,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1019,150,12.323449576031694,6.563157214138643,17.31889106034918,0.03897336172139461,0.08338264862284951,0.16725695305714486,0.11737995925126093,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
q_learning,,1020,150,38.29735694169143,15.814971408857373,25.865690795304598,0.020009291461754498,0.04675363591205269,0.09185700673445317,0.17344923518855804,0.06666666666666667,false,false,false,false,false,1,0,1,17,5,7,1,in_progress
sac,,1001,150,3.520323443554325,6.482589424766305,14.662183299296057,0.07317866442860689,0.13588279870451592,0.12642621174417404,0.09913146993378924,0.0,false,false,false,false,false,1,0,1,26,5,7,1,in_progress
