decision,step_count,x,z,angle,speed,d,phi,v,tile,d_stop,sigma_stop,duck_threat,hold_steps,duck_x,duck_z,duck_vel,duck_active,crossings,action,wheel_l,wheel_r,r_progress,r_lateral,r_heading,r_time,r_pedestrian,r_stagnation,r_stop_approach,r_steering,r_events,r_total,cumulative_return,terminated,truncated,reason
38,228,0.21994875071523015,1.360957776532747,-1.457243953898146,0.10199994902216872,-0.019557002695631882,0.20469762393922328,0.10199994902216872,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.3845408294873892,0.1503884196281433,0.18961158394813538,0.09987044443325913,-0.0007649527088739054,-0.020950558623181837,-0.01,0.0,0.0,0.0,0.0,0.0,0.0681549331012034,1.1626500095399421,false,false,in_progress
39,234,0.22249777589641873,1.3811973921955059,-1.4330057804672414,0.10199992034241323,-0.015153584841513811,0.23381330909251394,0.10199992034241323,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.40033671611637134,0.14958283305168152,0.19041717052459717,0.09922449936392622,-0.0004592622670979143,-0.02733433175439573,-0.01,0.0,0.0,0.0,0.0,0.0,0.06143090534243257,1.2240809148823748,false,false,in_progress
40,240,0.2255775400689521,1.4013629017502303,-1.404900020963381,0.10199989623855941,-0.010106139150846093,0.2700043087590633,0.10199989623855941,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.4565464766429579,0.1467161327600479,0.19328387081623077,0.09830441419955843,-0.00020426809707252836,-0.03645116337422979,-0.01,0.0,0.0,0.0,0.0,0.0,0.05164898272825612,1.2757298976106308,false,false,in_progress
41,246,0.22926310292346846,1.421426311289803,-1.3725215167339735,0.10199985955090357,-0.004399026247076094,0.2983465426212531,0.10199985955090357,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.5265738617361234,0.14314474165439606,0.19685526192188263,0.09749389468774747,-3.870286384492877e-5,-0.044505329747027596,-0.01,0.0,0.0,0.0,0.0,0.0,0.04294986207687494,1.3186797596875057,false,false,in_progress
42,252,0.2336439737951063,1.4413491763307071,-1.3354894511101694,0.10199982162639964,0.0019381194537037892,0.3331763354753811,0.10199982162639964,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.5844925030667778,0.14019088447093964,0.19980911910533905,0.09639067839606233,-7.512614033650149e-6,-0.05550323526040185,-0.01,0.0,0.0,0.0,0.0,0.0,0.030879930521626832,1.3495596902091325,false,false,in_progress
43,258,0.23880283093123603,1.4610845942706339,-1.29400343235545,0.10199977620984656,0.008859460458912236,0.35815590631217503,0.10199977620984656,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.655710106088812,0.13655878603458405,0.20344121754169464,0.09552736599345918,-0.0001569800792460588,-0.06413782661314775,-0.01,0.0,0.0,0.0,0.0,0.0,0.021232559301065372,1.3707922495101978,false,false,in_progress
44,264,0.2448230700835471,1.4805741380885884,-1.2476389763704046,0.10199972380779036,0.016284861296526704,0.38001181301665005,0.10199972380779036,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.7115318928285062,0.13371187448501587,0.20628812909126282,0.09472308940111986,-0.0005303934148942268,-0.0722044890161007,-0.01,0.0,0.0,0.0,0.0,0.0,0.011988206970124935,1.3827804564803228,false,false,in_progress
45,270,0.25178465921821247,1.499747201767355,-1.1966772691952874,0.10199967065817173,0.024112117443529868,0.39825920689491057,0.10199967065817173,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.7641222474550093,0.13102976977825165,0.20897023379802704,0.09401692090825917,-0.0011627884152211547,-0.07930519793828159,-0.01,0.0,0.0,0.0,0.0,0.0,0.0035489345547564197,1.3863293910350791,false,false,in_progress
46,276,0.25975425461056806,1.5185232487740883,-1.1414506331184073,0.10199961712537449,0.032222210038852214,0.4124002068303209,0.10199961712537449,1,0.32633233372051945,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.8127448362641149,0.12855000793933868,0.21144999563694,0.09344811581347677,-0.0020765416395758167,-0.08503696529684573,-0.01,0.0,0.0,0.0,0.0,0.0,-0.0036653911229447746,1.3826639999121344,false,false,in_progress
47,282,0.2680355699735778,1.5353922412485743,-1.086449125563696,0.07083317158899245,0.03983065307493231,0.41756369442714414,0.07083317158899245,1,0.3129088241052526,false,0,0,0.9477,0.8775,0.02,false,0,v=0.0,w=0.0,0.0,0.0,0.06474716129913251,-0.0031729618487512296,-0.08717971945182271,-0.01,0.0,0.0,0.0,0.0,0.0,-0.03560552000144143,1.347058479910693,false,false,in_progress
