decision,step_count,x,z,angle,speed,d,phi,v,tile,d_stop,sigma_stop,duck_threat,hold_steps,duck_x,duck_z,duck_vel,duck_active,crossings,action,wheel_l,wheel_r,r_progress,r_lateral,r_heading,r_time,r_pedestrian,r_stagnation,r_stop_approach,r_steering,r_events,r_total,cumulative_return,terminated,truncated,reason
21,126,0.18907996506366279,1.0155401427854744,-1.484524061447113,0.10200000103517297,-0.013579965063662797,-0.08627226534778326,0.10200000103517297,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.00907136394403305,0.17046263813972473,0.16953736543655396,0.10162064831720972,-0.00036883090226060423,-0.003721451884119162,-0.01,0.0,0.0,0.0,0.0,0.0,0.08753036553082996,-0.24531628288613325,false,false,in_progress
22,132,0.1908330465690379,1.0358646773501126,-1.485023971304903,0.10200000102199637,-0.015333046569037917,-0.08577235548999408,0.10200000102199637,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.011881160616009705,0.17060594260692596,0.16939406096935272,0.10162502924327103,-0.00047020463417657085,-0.003678448483150959,-0.01,0.0,0.0,0.0,0.0,0.0,0.0874763761259435,-0.15783990676018975,false,false,in_progress
23,138,0.19257355816592595,1.0561902919644885,-1.4857598489543167,0.10200000098660437,-0.017073558165925956,-0.08503647784057941,0.10200000098660437,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.015120850778855124,0.17077116668224335,0.16922883689403534,0.10163143183247363,-0.0005830127768905138,-0.0036156012817656767,-0.01,0.0,0.0,0.0,0.0,0.0,0.08743281777381744,-0.07040708898637231,false,false,in_progress
24,144,0.1942966934317202,1.076517386714011,-1.486731064160412,0.10200000093805978,-0.01879669343172022,-0.08406526263448467,0.10200000093805978,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.017314544554327623,0.17088304460048676,0.16911695897579193,0.10163979775096066,-0.000706631367932148,-0.0035334841909024427,-0.01,0.0,0.0,0.0,0.0,0.0,0.08739968219212609,0.016992593205753775,false,false,in_progress
25,150,0.19599798222957893,1.0968463212051138,-1.4879046073402817,0.10200000088607959,-0.020497982229578937,-0.08289171945461463,0.10200000088607959,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.01953425148192908,0.17099624872207642,0.16900375485420227,0.10164977858962056,-0.0008403345509682677,-0.0034355185770712686,-0.01,0.0,0.0,0.0,0.0,0.0,0.08737392546158103,0.1043665186673348,false,false,in_progress
26,156,0.19767353363821172,1.1171773928108686,-1.4892600167321173,0.10200000083142156,-0.02217353363821173,-0.0815363100627793,0.10200000083142156,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.021430129097008237,0.1710929423570633,0.1689070612192154,0.10166113196643659,-0.0009833311880098141,-0.003324084929326842,-0.01,0.0,0.0,0.0,0.0,0.0,0.08735371584909993,0.19172023451643472,false,false,in_progress
27,162,0.199319851126191,1.137510852126732,-1.4907777683984864,0.1020000007757523,-0.023819851126191005,-0.08001855839640953,0.1020000007757523,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.02330771001081187,0.17118869721889496,0.16881130635738373,0.10167362352359421,-0.0011347706153478057,-0.0032014848439198013,-0.01,0.0,0.0,0.0,0.0,0.0,0.08733736806432661,0.27905760258076134,false,false,in_progress
28,168,0.2009337571760173,1.157846909258918,-1.4924454651340564,0.10200000072005512,-0.025433757176017313,-0.07835086166083996,0.10200000072005512,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.02483288345804005,0.17126648128032684,0.16873352229595184,0.10168707911508248,-0.0012937520081772243,-0.0030694287614980408,-0.01,0.0,0.0,0.0,0.0,0.0,0.08732389834540723,0.36638150092616856,false,false,in_progress
29,174,0.20251237589122,1.1781857356627379,-1.4942454004544126,0.1020000006668972,-0.02698064264219944,-0.0686268071427518,0.1020000006668972,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.02625962572379923,0.1713392436504364,0.16866075992584229,0.10175990334689992,-0.0014559101547721414,-0.0023548193293042243,-0.01,0.0,0.0,0.0,0.0,0.0,0.08794917386282355,0.45433067478899214,false,false,in_progress
30,180,0.2040532584693802,1.1985274554839078,-1.4961284702181308,0.10200000067812494,-0.028154048217714396,-0.04678707996925853,0.10200000067812494,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.020229734691058637,0.17103171348571777,0.1689682900905609,0.10188838046783066,-0.0015853008620907744,-0.0010945154260248965,-0.01,0.0,0.0,0.0,0.0,0.0,0.089208564179715,0.5435392389687072,false,false,in_progress
